"Gemeente_Naam";"Municipality_code";"inwoners";"gemeente_getal";"provincie";"volledige.vaccinatie";"incidentie"
"Kampen";"GM0166";54319;32;"Overijssel";68;16,5687880852004
"Kapelle";"GM0678";12695;189;"Zeeland";75;4,5012097001069
"Katwijk";"GM0537";65754;159;"Zuid-Holland";67;9,12492015694863
"Kerkrade";"GM0928";45749;250;"Limburg";66;13,7395665166764
"Koggenland";"GM1598";22749;270;"Noord-Holland";70;7,53565305853319
"Krimpen aan den IJssel";"GM0542";29528;160;"Zuid-Holland";67;10,6436505786275
"Krimpenerwaard";"GM1931";56319;334;"Zuid-Holland";71;10,6535982528099
"Laarbeek";"GM1659";22523;277;"Noord-Brabant";77;3,80563360628183
"Landerd";"GM1685";15730;285;"Noord-Brabant";77;8,1736445372809
"Landgraaf";"GM0882";37445;243;"Limburg";70;15,2604772714267
"Landsmeer";"GM0415";11491;127;"Noord-Holland";72;19,8913435359349
"Langedijk";"GM0416";28163;128;"Noord-Holland";73;9,13052079476111
"Lansingerland";"GM1621";62384;271;"Zuid-Holland";74;27,9375664089693
"Laren";"GM0417";11280;129;"Noord-Holland";77;6,33232016210739
"Leeuwarden";"GM0080";124089;10;"Fryslân";68;20,7224538148311
"Leiden";"GM0546";125101;161;"Zuid-Holland";72;14,3883741936515
"Leiderdorp";"GM0547";27056;162;"Zuid-Holland";78;7,92008110163048
"Leidschendam-Voorburg";"GM1916";76534;330;"Zuid-Holland";75;17,7325483725254
"Lelystad";"GM0995";78600;264;"Flevoland";64;24,1730279898219
"Leudal";"GM1640";35879;272;"Limburg";77;8,36143705231472
"Leusden";"GM0327";30401;91;"Utrecht";78;5,16900289934072
"Lingewaard";"GM1705";46601;293;"Gelderland";79;6,74418390776409
"Lisse";"GM0553";22955;163;"Zuid-Holland";74;9,9573700096462
"Lochem";"GM0262";33730;63;"Gelderland";80;9,31769090678074
"Loon op Zand";"GM0809";23408;220;"Noord-Brabant";77;7,32350356410507
"Lopik";"GM0331";14467;92;"Utrecht";70;9,87469018159555
"Losser";"GM0168";22683;33;"Overijssel";75;22,6727379220436
"Maasdriel";"GM0263";25030;64;"Gelderland";70;6,84892414816506
"Maasgouw";"GM1641";23965;273;"Limburg";76;7,15328902268189
"Maassluis";"GM0556";33213;164;"Zuid-Holland";68;16,3447187202945
"Maastricht";"GM0935";121579;251;"Limburg";69;11,9851525110657
"Medemblik";"GM0420";45101;130;"Noord-Holland";68;17,7379658987606
"Meerssen";"GM0938";18828;252;"Limburg";79;11,3812255303651
"Meierijstad";"GM1948";81197;338;"Noord-Brabant";76;7,03755768598066
"Meppel";"GM0119";33920;22;"Drenthe";74;10,1078167115903
"Middelburg";"GM0687";48823;190;"Zeeland";71;7,60765564239337
"Midden-Delfland";"GM1842";19341;315;"Zuid-Holland";75;17,7269604910368
"Midden-Drenthe";"GM1731";33185;306;"Drenthe";77;10,331690307583
"Midden-Groningen";"GM1952";60797;341;"Groningen";74;9,16398600494855
"Mill en Sint Hubert";"GM0815";10939;221;"Noord-Brabant";79;10,4475467854204
"Moerdijk";"GM1709";37129;296;"Noord-Brabant";76;6,92566072727133
"Molenlanden";"GM1978";43909;351;"Zuid-Holland";66;11,3871871370334
"Montferland";"GM1955";36011;343;"Gelderland";78;4,76045017990535
"Montfoort";"GM0335";13917;93;"Utrecht";73;10,2649380510989
"Mook en Middelaar";"GM0944";7847;253;"Limburg";80;10,9231917566313
"Neder-Betuwe";"GM1740";24339;309;"Gelderland";52;22,8909510309732
"Nederweert";"GM0946";17019;254;"Limburg";75;9,23337782142647
"Nieuwegein";"GM0356";63463;103;"Utrecht";74;9,22922467759617
"Nieuwkoop";"GM0569";28812;165;"Zuid-Holland";73;10,4123281965848
"Nijkerk";"GM0267";43171;65;"Gelderland";71;11,5818489263626
"Nijmegen";"GM0268";177662;66;"Gelderland";72;12,7047025089375
"Nissewaard";"GM1930";85220;333;"Zuid-Holland";69;14,9193683575284
"Noardeast-Fryslân";"GM1970";45228;350;"Fryslân";68;31,5859960327989
"Noord-Beveland";"GM1695";7392;287;"Zeeland";73;0
"Noordenveld";"GM1699";31253;289;"Drenthe";80;4,57098975641196
"Noordoostpolder";"GM0171";47293;34;"Flevoland";68;16,9158226375996
"Noordwijk";"GM0575";43508;166;"Zuid-Holland";73;7,55197730466647
"Nuenen c.a.";"GM0820";23383;222;"Noord-Brabant";79;7,33133350847075
"Nunspeet";"GM0302";27851;82;"Gelderland";60;77,452976810271
"Oegstgeest";"GM0579";24841;167;"Zuid-Holland";81;8,62629178719513
"Oirschot";"GM0823";18714;223;"Noord-Brabant";78;10,6871860639094
"Oisterwijk";"GM0824";26245;224;"Noord-Brabant";79;7,62049914269384
"Oldambt";"GM1895";38209;323;"Groningen";75;6,35601933725412
"Oldebroek";"GM0269";23646;67;"Gelderland";68;12,0829859474873
"Oldenzaal";"GM0173";31836;35;"Overijssel";75;23,3338718072981
"Olst-Wijhe";"GM1773";18252;312;"Overijssel";79;7,04423781346858
"Ommen";"GM0175";18009;36;"Overijssel";75;7,13928749910759
"Oost Gelre";"GM1586";29627;269;"Gelderland";79;2,89311390671637
"Oosterhout";"GM0826";55982;225;"Noord-Brabant";75;11,48328289195
"Ooststellingwerf";"GM0085";25469;11;"Fryslân";73;12,3399314572898
